lipid,salt conc (mono),salt conc (di),pH,Rh,temp,zeta,sd,ref,notes,,,
DSPC,154,0,7.4,200,45,8.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,5,0,7.4,200,50,-19,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,10,0,7.4,200,50,-10.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,20,0,7.4,200,50,-5.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,40,0,7.4,200,50,0,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,60,0,7.4,200,50,3,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,80,0,7.4,200,50,4,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,100,0,7.4,200,50,6.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,125,0,7.4,200,50,6,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,154,0,7.4,200,50,8.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,5,0,7.4,200,55,-6.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,10,0,7.4,200,55,-2.5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,20,0,7.4,200,55,1,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,40,0,7.4,200,55,5,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,60,0,7.4,200,55,6,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,80,0,7.4,200,55,7,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,100,0,7.4,200,55,9,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
DSPC,125,0,7.4,200,55,9,,"makimo, yamada, kimura, oka, ohsmio, kondo, 1991",size unclear,,,
